name,value,dartDefault
@ECode,,
Success,0,
NoAvailableUserService,1,
AccountNotExist,2,
InvalidPassword,3,
UserNotExist,5,
RoomNotExist,6,
ServerNotReady,8,
Exception,14,
InvalidParam,17,
Error,21,1
ServiceIsShuttingDown,23,
UserDestroying,25,
ServiceConfigError,31,
Blocked,32,
DelayLogin,33,
UserInfoNotExist,34,
ServerBusy,44,
Timeout,45,
NotConnected,46,
RoomInfoNotExist,47,
InvalidChannel,85,
DBErrorAffectedRowCount,86,
RedisLockFail,87,
MsgProcessing,88,
MonitorRunLoop,89,
NotEnoughCount,90,
RoomLocationNotFound,91,
AlreadyIs,92,
NoAvailableRoomService,93,
RetryFailed,95,
WrongRoomId,96,
UserNotInRoom,97,
NoHandler,98,
InvalidRoomId,99,
FileNotExist,100,
Chat_TooFast,101,
NotSupported,102,
Name_TooShort,103,
Name_TooLong,104,
Name_Reserved,105,
Name_Empty,106,
Name_InvalidChar,107,
Name_TooFrequent,108,
Chat_InvalidType,109,
Chat_Empty,110,
Chat_TooShort,111,
Chat_TooLong,112,
Chat_AllSpace,113,
Search_TooShort,114,
Search_TooLong,115,
AvatarIndex_TooFrequent,116,
AvatarIndex_OutOfRange,117,
@RoomMessageReportReason,,
Other,0,1
Spam,1,
Ads,2,
Harassment,3,
InappropriateContent,4,
Count,5,
@UserReportReason,,
Other,0,1
Spam,1,
Ads,2,
Harassment,3,
InappropriateContent,4,
Count,5,
@ChatMessageType,,
Unknown,0,1
Text,1,
Image,2,
System,3,
Count,4,
